code,name,name_short,name_tv,gender,function,country_code,country,country_full,nationality,nationality_full,nationality_code,height,weight,disciplines,events,birth_date
1532951,ARENAS Lorena,ARENAS L,Lorena ARENAS,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,162.0,,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1993-09-17
1533136,BASS BITTAYE Gina Mariam,BASS BITTAYE GM,Gina Mariam BASS BITTAYE,Female,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,161.0,,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1995-05-03
1533176,CAMARA Ebrahima,CAMARA E,Ebrahima CAMARA,Male,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,178.0,,['Athletics'],"[""Men's 100m""]",1996-09-18
1533208,MAAROUFOU Hachim,MAAROUFOU H,Hachim MAAROUFOU,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,183.0,,['Athletics'],"[""Men's 100m""]",1997-02-13
1533364,ISMAIL Mohamed,ISMAIL M,Mohamed ISMAIL,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170.0,,['Athletics'],"[""Men's 5000m""]",1997-01-01
1533371,HASSAN Ibrahim,HASSAN I,Ibrahim HASSAN,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170.0,,['Athletics'],"[""Men's Marathon""]",1997-01-01
1533372,WAISS Abdi,WAISS A,Abdi WAISS,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,170.0,,['Athletics'],"[""Men's 5000m""]",1996-07-03
1533374,HASSAN NOUR Samiyah,HASSAN NOUR S,Samiyah HASSAN NOUR,Female,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,160.0,,['Athletics'],"[""Women's 5000m""]",1999-12-05
1535191,GONZALEZ Alegna,GONZALEZ A,Alegna GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,158.0,,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1999-01-02
1535195,LOPEZ Jesus Tonatiu,LOPEZ JT,Jesus Tonatiu LOPEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,190.0,,['Athletics'],"[""Men's 800m""]",1997-08-02
1535199,PORTILLO Erick,PORTILLO E,Erick PORTILLO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,190.0,,['Athletics'],"[""Men's High Jump""]",2000-10-05
1535201,MUNOZ Uziel,MUNOZ U,Uziel MUNOZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,185.0,,['Athletics'],"[""Men's Shot Put""]",1995-09-08
1535202,del REAL Diego,del REAL D,Diego del REAL,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,185.0,,['Athletics'],"[""Men's Hammer Throw""]",1994-03-06
1535203,DOCTOR Jose Luis,DOCTOR JL,Jose Luis DOCTOR,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,175.0,,['Athletics'],"[""Men's 20km Race Walk""]",1996-06-14
1535212,MORAN Paola,MORAN P,Paola MORAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,169.0,,['Athletics'],"[""Women's 400m""]",1997-02-25
1535214,GALVAN Laura,GALVAN L,Laura GALVAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,162.0,,['Athletics'],"[""Women's 5000m""]",1991-10-05
1535216,CORTES Alma Delia,CORTES AD,Alma Delia CORTES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,160.0,,['Athletics'],"[""Women's 5000m""]",1997-12-26
1535217,CRISTIAN MOSCOTE Citlali,CRISTIAN MOSCOTE C,Citlali CRISTIAN MOSCOTE,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,154.0,,['Athletics'],"[""Women's Marathon""]",1995-04-15
1535222,PALMA OLIVARES Ever Jair,PALMA OLIVARES EJ,Ever Jair PALMA OLIVARES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,168.0,,['Athletics'],['Marathon Race Walk Relay Mixed'],1992-03-18
1535505,LINARES Natalia,LINARES N,Natalia LINARES,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,171.0,,['Athletics'],"[""Women's Long Jump""]",2003-01-03
1535506,LONGA Ronal,LONGA R,Ronal LONGA,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,183.0,,['Athletics'],"[""Men's 100m""]",2004-06-30
1535511,RUIZ HURTADO Flor Denis,RUIZ HURTADO FD,Flor Denis RUIZ HURTADO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,175.0,,['Athletics'],"[""Women's Javelin Throw""]",1991-01-29
1535512,ORJUELA Angie,ORJUELA A,Angie ORJUELA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,158.0,,['Athletics'],"[""Women's Marathon""]",1989-05-09
1535660,SIMWAKA Asimenye,SIMWAKA A,Asimenye SIMWAKA,Female,Athlete,MAW,Malawi,Malawi,Malawi,Malawi,MAW,168.0,,['Athletics'],"[""Women's 100m""]",1997-08-08
1535858,PEREIRA Veronica Shanti,PEREIRA VS,Veronica Shanti PEREIRA,Female,Athlete,SGP,Singapore,Singapore,Singapore,Singapore,SGP,164.0,,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1996-09-20
1536032,HERNANDEZ FLORES Margarita,HERNANDEZ FLORES M,Margarita HERNANDEZ FLORES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,149.0,,['Athletics'],"[""Women's Marathon""]",1985-12-03
1536233,YASEEN Taha Hussein,YASEEN TH,Taha Hussein YASEEN,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,171.0,,['Athletics'],"[""Men's 100m""]",1998-01-01
1536372,GIRMA Ermias,GIRMA E,Ermias GIRMA,Male,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,176.0,,['Athletics'],"[""Men's 1500m""]",2005-01-20
1536494,RIVERA Edgar,RIVERA E,Edgar RIVERA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,198.0,,['Athletics'],"[""Men's High Jump""]",1991-02-13
1536495,TAMAYO-GARZA Cecilia,TAMAYO-GARZA C,Cecilia TAMAYO-GARZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,167.0,,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1997-03-04
1536496,ALEMU Habitam,ALEMU H,Habitam ALEMU,Female,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,170.0,,['Athletics'],"[""Women's 800m""]",1997-07-09
1536497,MESELE Worknesh,MESELE W,Worknesh MESELE,Female,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,172.0,,['Athletics'],"[""Women's 800m""]",2001-06-11
1536498,DUGUMA Tsige,DUGUMA T,Tsige DUGUMA,Female,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,164.0,,['Athletics'],"[""Women's 800m""]",2001-02-23
1536568,FAYISA Abdisa,FAYISA A,Abdisa FAYISA,Male,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,173.0,,['Athletics'],"[""Men's 1500m""]",2005-04-24
1536585,GUERRERO Ilse,GUERRERO I,Ilse GUERRERO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,156.0,,['Athletics'],"[""Women's 20km Race Walk""]",1993-03-24
1536599,CHAMA Noel,CHAMA N,Noel CHAMA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,176.0,,['Athletics'],"[""Men's 20km Race Walk""]",1997-09-15
1536600,ORTIZ Ricardo,ORTIZ R,Ricardo ORTIZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,168.0,,['Athletics'],"[""Men's 20km Race Walk""]",1995-02-07
1536683,FASIHI Farzaneh,FASIHI F,Farzaneh FASIHI,Female,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,161.0,,['Athletics'],"[""Women's 100m""]",1993-01-03
1536701,TAFTIAN Hassan,TAFTIAN H,Hassan TAFTIAN,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,182.0,,['Athletics'],"[""Men's 100m""]",1993-05-04
1536885,RICKETTS Shanieka,RICKETTS S,Shanieka RICKETTS,Female,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,188.0,,['Athletics'],"[""Women's Triple Jump""]",1992-02-02
1536925,HARRIS Naquille,HARRIS N,Naquille HARRIS,Male,Athlete,SKN,St Kitts and Nevis,Saint Kitts and Nevis,St Kitts and Nevis,Saint Kitts and Nevis,SKN,175.0,,['Athletics'],"[""Men's 100m""]",2002-05-16
1536983,WELTEJI Diribe,WELTEJI D,Diribe WELTEJI,Female,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,166.0,,['Athletics'],"[""Women's 1500m""]",2002-05-13
1536990,HAYLOM Birke,HAYLOM B,Birke HAYLOM,Female,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,164.0,,['Athletics'],"[""Women's 1500m""]",2006-01-06
1536992,HAILU Freweyni,HAILU F,Freweyni HAILU,Female,Alternate Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,166.0,,['Athletics'],"[""Women's 5000m""]",2001-02-12
1536998,AREGAWI Berihu,AREGAWI B,Berihu AREGAWI,Male,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,171.0,,['Athletics'],"[""Men's 10,000m""]",2001-02-28
1536999,KEJELCHA Yomif,KEJELCHA Y,Yomif KEJELCHA,Male,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,185.0,,['Athletics'],"[""Men's 10,000m""]",1997-08-01
1537001,GEBRHIWET Hagos,GEBRHIWET H,Hagos GEBRHIWET,Male,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,173.0,,['Athletics'],"[""Men's 5000m""]",1994-05-11
1537010,NGOYE Natacha,NGOYE N,Natacha NGOYE,Female,Athlete,CGO,Congo,Congo,Congo,Congo,CGO,168.0,,['Athletics'],"[""Women's 100m""]",1993-08-15
1537049,BAREGA Selemon,BAREGA S,Selemon BAREGA,Male,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,170.0,,['Athletics'],"[""Men's 10,000m""]",2000-01-20
1537052,TEFERA Samuel,TEFERA S,Samuel TEFERA,Male,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,175.0,,['Athletics'],"[""Men's 1500m""]",1999-10-23
1537053,YIHUNE Addisu,YIHUNE A,Addisu YIHUNE,Male,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,170.0,,['Athletics'],"[""Men's 5000m""]",2003-03-17
1537057,MEHARY Biniam,MEHARY B,Biniam MEHARY,Male,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,177.0,,['Athletics'],"[""Men's 5000m""]",2006-12-20
1537066,TAYE Ejgayehu,TAYE E,Ejgayehu TAYE,Female,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,165.0,,['Athletics'],"[""Women's 5000m""]",2000-02-10
1537069,EISA Medina,EISA M,Medina EISA,Female,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,162.0,,['Athletics'],"[""Women's 5000m""]",2005-01-03
1537079,GEBRESELAMA Tsigie,GEBRESELAMA T,Tsigie GEBRESELAMA,Female,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,167.0,,['Athletics'],"[""Women's 10,000m""]",2000-09-30
1537144,VEGA Jerome,VEGA J,Jerome VEGA,Male,Athlete,PUR,Puerto Rico,Puerto Rico,United States,United States of America,USA,178.0,,['Athletics'],"[""Men's Hammer Throw""]",1995-04-07
1537145,OWENS-DELERME Ayden,OWENS-DELERME A,Ayden OWENS-DELERME,Male,Athlete,PUR,Puerto Rico,Puerto Rico,United States,United States of America,USA,184.0,,['Athletics'],"[""Men's Decathlon""]",2000-05-28
1537149,de ORBETA Rachelle,de ORBETA R,Rachelle de ORBETA,Female,Athlete,PUR,Puerto Rico,Puerto Rico,United States,United States of America,USA,154.0,,['Athletics'],"[""Women's 20km Race Walk""]",2000-03-27
1537150,SCOTT Gabby,SCOTT G,Gabby SCOTT,Female,Athlete,PUR,Puerto Rico,Puerto Rico,United States,United States of America,USA,165.0,,['Athletics'],"[""Women's 400m""]",1997-01-13
1537168,CASTRO RIVERA Luis,CASTRO RIVERA L,Luis CASTRO RIVERA,Male,Athlete,PUR,Puerto Rico,Puerto Rico,United States,United States of America,USA,198.0,,['Athletics'],"[""Men's High Jump""]",1991-01-29
1537183,CAMACHO-QUINN Jasmine,CAMACHO-QUINN J,Jasmine CAMACHO-QUINN,Female,Athlete,PUR,Puerto Rico,Puerto Rico,United States,United States of America,USA,160.0,,['Athletics'],"[""Women's 100m Hurdles""]",1996-08-21
1537203,HYDE Jaheel,HYDE J,Jaheel HYDE,Male,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,180.0,,['Athletics'],"[""Men's 400m Hurdles""]",1997-02-02
1537325,ALFRED Julien,ALFRED J,Julien ALFRED,Female,Athlete,LCA,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,LCA,170.0,,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",2001-06-10
1537331,JOSEPH Michael,JOSEPH M,Michael JOSEPH,Male,Athlete,LCA,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia,LCA,182.0,,['Athletics'],"[""Men's 400m""]",2002-11-01
1537345,TSEGAY Gudaf,TSEGAY G,Gudaf TSEGAY,Female,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,163.0,,['Athletics'],"[""Women's 10,000m"", ""Women's 1500m"", ""Women's 5000m""]",1997-01-23
1537368,TESFAY Fotyen,TESFAY F,Fotyen TESFAY,Female,Athlete,ETH,Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH,161.0,,['Athletics'],"[""Women's 10,000m""]",1998-02-17
1537510,BORELLI Florencia,BORELLI F,Florencia BORELLI,Female,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,155.0,,['Athletics'],"[""Women's Marathon""]",1992-10-30
1537518,CASETTA Belen,CASETTA B,Belen CASETTA,Female,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,163.0,,['Athletics'],"[""Women's 3000m Steeplechase""]",1994-09-26
1537531,GOMEZ Joaquin,GOMEZ J,Joaquin GOMEZ,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,172.0,,['Athletics'],"[""Men's Hammer Throw""]",1996-10-14
1537538,LARREGINA Elian,LARREGINA E,Elian LARREGINA,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,188.0,,['Athletics'],"[""Men's 400m""]",2000-02-20
1537547,SASIA Nazareno,SASIA N,Nazareno SASIA,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,194.0,,['Athletics'],"[""Men's Shot Put""]",2001-01-05
1537549,GADAYI Edwin Kwabla,GADAYI EK,Edwin Kwabla GADAYI,Male,Alternate Athlete,GHA,Ghana,Ghana,Ghana,Ghana,GHA,168.0,,['Athletics'],"[""Men's 4 x 100m Relay""]",2001-02-14
1538504,CISSE Arthur,CISSE A,Arthur CISSE,Male,Athlete,CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,CIV,168.0,,['Athletics'],"[""Men's 100m""]",1996-12-29
1538505,KONE Maboundou,KONE M,Maboundou KONE,Female,Athlete,CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,CIV,163.0,,['Athletics'],"[""Women's 100m"", ""Women's 200m"", ""Women's 4 x 100m Relay""]",1997-05-16
1538830,BROWN Janeek,BROWN J,Janeek BROWN,Female,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,165.0,,['Athletics'],"[""Women's 100m Hurdles""]",1998-05-14
1538893,CAMERON Lloydricia,CAMERON L,Lloydricia CAMERON,Female,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,170.0,,['Athletics'],"[""Women's Shot Put""]",1996-04-08
1538903,PERINCHIEF Jah-Nhai,PERINCHIEF JN,Jah-Nhai PERINCHIEF,Male,Athlete,BER,Bermuda,Bermuda,Great Britain,Great Britain,GBR,182.0,,['Athletics'],"[""Men's Triple Jump""]",1997-12-13
1538904,CLAYTON Rushell,CLAYTON R,Rushell CLAYTON,Female,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,170.0,,['Athletics'],"[""Women's 400m Hurdles""]",1992-10-18
1538934,FIRFIRICA Alin Alexandru,FIRFIRICA AA,Alin Alexandru FIRFIRICA,Male,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,197.0,,['Athletics'],"[""Men's Discus Throw""]",1995-11-03
1538935,GHELBER Bianca Florentina,GHELBER BF,Bianca Florentina GHELBER,Female,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,171.0,,['Athletics'],"[""Women's Hammer Throw""]",1990-06-01
1538937,ION Diana Ana Maria,ION DAM,Diana Ana Maria ION,Female,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,168.0,,['Athletics'],"[""Women's Triple Jump""]",2000-11-27
1538939,MELLY Joan Chelimo,MELLY JC,Joan Chelimo MELLY,Female,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,171.0,,['Athletics'],"[""Women's Marathon""]",1990-11-10
1538999,MERINGOR Delvine Relin,MERINGOR DR,Delvine Relin MERINGOR,Female,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,162.0,,['Athletics'],"[""Women's Marathon""]",1992-08-01
1539000,MIKLOS Andrea,MIKLOS A,Andrea MIKLOS,Female,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,167.0,,['Athletics'],"[""Women's 400m""]",1999-04-17
1539008,NOVAC Alexandru Mihaita,NOVAC AM,Alexandru Mihaita NOVAC,Male,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,183.0,,['Athletics'],"[""Men's Javelin Throw""]",1997-03-24
